task,model,is_winner,val_accuracy,val_precision,val_recall,val_f1_macro,test_accuracy,test_precision,test_recall,test_f1_macro,best_params
task_1_presence,LogisticRegression,False,0.5481481481481482,0.5521445439068593,0.5560871876661351,0.5417107240247092,,,,,"{'C': 10.0, 'solver': 'lbfgs'}"
task_1_presence,SVC,False,0.4,0.4444444444444444,0.44976076555023925,0.3973214285714286,,,,,"{'C': 10.0, 'gamma': 'scale'}"
task_1_presence,RandomForest,True,0.6814814814814815,0.705750350631136,0.7166400850611376,0.6803590110676725,0.662962962962963,0.6655195198502285,0.6656746031746033,0.6629583396205709,"{'max_depth': None, 'n_estimators': 100}"
task_2_movement,LogisticRegression,True,0.9090909090909091,0.45454545454545453,0.5,0.47619047619047616,0.9682539682539683,0.5,0.48412698412698413,0.49193548387096775,"{'C': 0.1, 'solver': 'lbfgs'}"
task_2_movement,SVC,False,0.9090909090909091,0.45454545454545453,0.5,0.47619047619047616,,,,,"{'C': 0.1, 'gamma': 'scale'}"
task_2_movement,RandomForest,False,0.8888888888888888,0.4536082474226804,0.4888888888888889,0.47058823529411764,,,,,"{'max_depth': 5, 'n_estimators': 50}"
task_3_direction,LogisticRegression,True,0.6031746031746031,0.6,0.6018518518518519,0.5995423340961098,0.4722222222222222,0.4714285714285714,0.4722222222222222,0.46853146853146854,"{'C': 0.1, 'solver': 'lbfgs'}"
task_3_direction,SVC,False,0.4444444444444444,0.4677033492822966,0.4722222222222222,0.4353393085787452,,,,,"{'C': 1.0, 'gamma': 'scale'}"
task_3_direction,RandomForest,False,0.5873015873015873,0.5964285714285714,0.5972222222222222,0.5871975806451613,,,,,"{'max_depth': 5, 'n_estimators': 100}"
task_4_zone,LogisticRegression,False,0.26262626262626265,0.08765432098765431,0.12655826558265582,0.1020671834625323,,,,,"{'C': 1.0, 'solver': 'lbfgs'}"
task_4_zone,SVC,False,0.2222222222222222,0.08472222222222221,0.1043360433604336,0.09211775878442545,,,,,"{'C': 10.0, 'gamma': 'auto'}"
task_4_zone,RandomForest,True,0.30303030303030304,0.13149704326174916,0.2056910569105691,0.13950538998097653,0.20634920634920634,0.1970899470899471,0.1037037037037037,0.12101877788152297,"{'max_depth': None, 'n_estimators': 50}"
